jml_lantai,ruangan,luas (m2),harga
2,4,130,1050000
1,1,32.4,339000
1,2,40,375000
2,1,33,220000
3,2,41.21,579000
1,2,59.5,599000
1,2,55,575000
3,3,109,1230000
2,4,83.56,1999989
1,2,55,595000
2,1,40.03,390000
1,1,27.2,369000
3,2,49.8,413340
2,3,86,790000
2,2,67,430000
2,2,82,650000
2,2,59.3,509980
3,3,68.98,985000
1,2,39.95,555000
1,2,59.2,367000
2,3,158,1550000
0,2,33.5,275000
2,4,149,1550000
2,2,47.1,315000
4,2,75.9,439900
2,2,40.74,529620
2,3,57,790000
3,1,37.58,498000
4,3,67,620000
0,3,55.3,386547
4,2,49.83,418600
1,2,51.5,650000
2,6,101,670000
3,2,43,609000
3,2,32,399000
4,2,28,249000
3,2,45,799000
4,1,38.86,330310
1,5,131.76,3450000
5,1,177.59,2850000
4,3,115,1390000
5,4,90.5,1600000
2,4,130,950000
3,5,127,800000
3,1,18,320000
3,3,96,899999
4,4,95.43,1119000
3,1,17.61,320000
2,3,62,970000
2,2,64,399000
3,1,18,320000
2,4,113.5,2380000
4,3,53.1,895000
2,3,146.1,2000000
4,3,53,894900
3,2,43.5,587000
2,4,95.34,1690000
2,4,138,1950000
0,2,47,799000
1,3,65,1050000
1,3,65,1050000
4,3,69.28,670000
1,2,75,935000
0,2,47,799000
0,2,35,387000
4,3,53.1,895000
0,2,46.75,799000
1,7,239,7000000
2,3,61.94,620000
0,3,98,999000
1,5,93,1100000
2,2,72.4,385000
1,3,65,1095000
3,2,53.4,709000
1,3,101.2,1455000
3,2,53,709000
1,3,101.23,1455000
3,2,53.4,709000
3,5,136,1499000
1,3,65.07,1095000
3,2,53,709000
5,1,20.54,385000
3,3,74,800000
0,3,95.19,960000
5,3,93.61,990000
1,1,15,239000
4,5,150.6,2250000
3,4,88.26,864948
1,2,38,479000
0,3,95.19,920000
4,5,122,1650000
1,3,45.73,485000
2,3,53.21,718000
1,3,75.8,1200000
2,1,15.21,239000
1,4,74.08,1100000
2,2,50,299000
4,2,30,380000
3,3,113,699000
4,4,157.08,1800000
1,3,92,1633000
5,1,25.77,320000
2,2,49.89,1050000
1,2,75,1100000
3,2,59.4,510840
4,2,49.98,414834
1,2,59.2,367040
3,4,109.2,924180
1,3,84.75,2203500
1,2,75,920000
0,2,54,888000
0,3,98,494900
2,3,64,746000
4,3,122.6,1400000
1,1,18,468000
5,3,93.6,990000
1,2,48.4,380000
1,2,48.4,380000
2,1,16.2,280000
4,1,24.5,399000
1,5,169.4,2750000
4,1,29.45,335000
1,3,87.1,1053910
4,3,69,799000
2,3,76.41,379000
1,1,41.83,199000
2,3,62,1200000
1,2,51.46,1150000
2,2,43,404000
2,3,158,1550000
1,3,101,849000
0,3,43,380000
2,3,80.5,1200000
0,1,31.1,229000
3,4,124,1160000
2,1,31,337000
1,4,78,380000
4,6,156.18,2400000
3,3,92.91,1096338
1,5,133,699000
1,2,51.46,1150000
3,3,118,1080000
2,3,96,1290000
0,1,26,275000
1,4,122.07,1500000
0,1,16.2,200000
1,4,122.07,1500000
2,1,18.3,299000
3,4,84,1290000
1,2,40.5,295000
2,3,69,779000
3,1,35.24,475740
3,2,51.62,655574
2,3,80.5,1200000
1,3,69,599000
0,4,166,1690000
3,1,39.06,499000
1,5,150,2390000
3,6,136,1564000
2,3,64.9,850000
2,1,27.55,325000
2,3,96,1290000
0,3,56,439000
1,2,58.64,869000
3,3,110.5,1080000
2,3,80.5,1200000
0,6,166,1690000
3,1,26,275000
0,2,46.46,675000
2,2,27,319000
1,2,54,1150000
3,2,47,780000
1,2,41,499000
1,2,42.95,515000
1,3,70,890000
3,1,32,429000
3,3,118,1080000
0,2,47.4,359000
1,4,107,1350000
1,3,63,590000
1,2,74.69,990000
1,2,45.2,465000
3,4,110.5,1080000
5,2,35.6,340000
4,3,69,799000
0,2,43,558000
2,4,139,1349000
3,3,110,1080000
3,2,48.48,499000
4,2,71,790000
1,2,55,1150000
2,3,80.5,1200000
2,2,57.7,639000
4,3,69.28,670000
0,2,32.5,415000
1,3,70,890000
1,2,37,550000
3,3,73.9,479000
1,2,46.6,630000
1,3,55.83,359000
0,1,24.58,373700
1,2,55,1150000
2,1,20.16,338000
3,4,76,858800
3,3,110.5,1080000
2,3,80.66,1200000
4,3,70,670000
4,3,74,370000
2,4,120,1160000
0,3,43,378000
1,5,169.4,2750000
3,3,86.88,1051248
3,3,42.09,652000
0,2,38,290000
0,2,54.55,735000
3,1,39,425000
1,2,42,305000
2,4,96,1119999
4,2,70,1244000
2,3,86.6,1300000
1,3,87.1,1053910
3,3,86.17,1051274
0,1,19.02,350000
0,1,25.5,319900
2,3,105.5,1050000
3,3,58,859000
2,1,27,319000
0,5,132.75,1042088
4,3,72.99,760000
1,2,65.16,339000
1,1,32.4,339000
1,4,78,380000
4,4,90,1200000
3,3,110.5,1080000
3,3,68,646000
2,3,100.1,1840000
0,2,46.96,320000
1,3,77,995000
0,2,32.5,415000
3,2,43,495000
1,5,170,2750000
4,2,32.31,371565
2,3,86.97,1052337
1,1,32,350000
1,3,108.53,970000
0,5,113.9,1650000
3,2,51.45,649000
1,4,122,1500000
2,2,50.07,726000
3,1,28.42,324000
0,1,28.3,365000
0,2,60,739000
1,3,84,839160
2,2,31.8,340000
1,3,65,1250000
1,2,58.5,640000
2,3,94.04,1104970
2,3,96,1250000
2,3,81,1200000
2,1,65,599000
3,3,84.5,1850000
3,3,86.88,1051248
1,2,49,598000
3,2,46.53,680000
3,3,110,1080000
3,2,47,680000
4,1,31.18,398700
0,1,31.1,229000
0,1,22.5,319000
0,2,38.3,390660
0,2,72.94,1458800
1,3,64,704000
3,4,110,1080000
0,2,43.46,375000
1,2,43,516000
3,4,84,925000
2,4,74,1150000
1,2,51.46,1150000
1,4,117,2890000
0,1,30.22,350000
0,3,56,616000
1,1,30,510000
0,1,17.35,350000
4,3,178,2290000
4,3,70,670000
1,2,86.88,1051248
4,4,115,995000
3,4,94.3,2000000
3,3,110,1080000
4,3,69.28,670000
1,4,122.07,1500000
3,2,37.03,588000
0,1,26,361400
3,1,33.55,445000
1,7,169.4,2700000
3,3,118,1080000
2,2,50,370000
1,3,64,704000
